Log Validasi Pembersihan Teks
Waktu: 2025-06-07 01:21:25.539082

File            Original   Cleaned    Persen     Status
------------------------------------------------------------
case_001.txt    414816     341523     82.33    % ✅ OK
case_002.txt    295872     248103     83.85    % ✅ OK
case_003.txt    19827      16765      84.56    % ✅ OK
case_004.txt    16367      12519      76.49    % ⚠️ Kurang
case_005.txt    164173     134297     81.80    % ✅ OK
case_006.txt    141312     116362     82.34    % ✅ OK
case_007.txt    150147     121251     80.75    % ✅ OK
case_008.txt    168862     141288     83.67    % ✅ OK
case_009.txt    166574     139451     83.72    % ✅ OK
case_010.txt    211291     172119     81.46    % ✅ OK
case_011.txt    177030     143199     80.89    % ✅ OK
case_012.txt    21069      17047      80.91    % ✅ OK
case_013.txt    171186     140639     82.16    % ✅ OK
case_014.txt    173281     140242     80.93    % ✅ OK
case_015.txt    163779     132223     80.73    % ✅ OK
case_016.txt    163531     132457     81.00    % ✅ OK
case_017.txt    202821     166729     82.20    % ✅ OK
case_018.txt    373551     305229     81.71    % ✅ OK
case_019.txt    192474     161079     83.69    % ✅ OK
case_020.txt    119045     97409      81.83    % ✅ OK
case_021.txt    17771      14213      79.98    % ⚠️ Kurang
case_022.txt    120276     98536      81.92    % ✅ OK
case_023.txt    218902     175284     80.07    % ✅ OK
case_024.txt    345137     280465     81.26    % ✅ OK
